date,open,high,low,close,volume
10/20/2022,1278.42,1285.58,1271.23,1282.8,10169831.88
10/20/2022,1282.8,1284.46,1278.65,1284.12,2837731.439
10/20/2022,1284.11,1288.59,1282.7,1285.02,2607860.794
10/20/2022,1285.01,1286.78,1280.8,1281.8,3839200.213
10/20/2022,1281.82,1283.31,1278.91,1282.94,3160786.493
10/20/2022,1283.05,1284.84,1277.79,1281.43,4650844.636
10/20/2022,1281.44,1284.13,1280.83,1282.72,2253336.439
10/20/2022,1282.73,1285.35,1278.7,1280.15,5195703.52
10/20/2022,1280.13,1286.7,1278.74,1284.91,6186324.601
10/20/2022,1284.86,1286.9,1283.46,1284.09,4620423.734
10/20/2022,1283.93,1287.88,1282.4,1286.63,6109792.061
10/20/2022,1286.66,1290.62,1285.77,1289.73,5369052.224
10/20/2022,1289.84,1291.7,1288.1,1289.99,4313898.766
10/20/2022,1289.96,1292.5,1289.23,1290.81,3160790.433
10/20/2022,1290.79,1291.18,1286.79,1287.68,3467494.925
10/21/2022,1287.67,1290.61,1286.9,1288.31,3468603.473
10/21/2022,1288.46,1288.95,1284.7,1288.21,3331350.554
10/21/2022,1288.21,1289.77,1286.84,1288.05,2924021.894
10/21/2022,1287.98,1290.44,1286.62,1288.17,2161001.452
10/21/2022,1288.17,1291.09,1287.16,1287.34,2906541.41
10/21/2022,1287.23,1289.26,1284.55,1285.25,3591174.065
10/21/2022,1285.25,1290.54,1282.53,1288.64,4923531.56
10/21/2022,1288.47,1288.89,1284.41,1284.7,3593311.302
10/21/2022,1284.8,1285.29,1278.32,1282.66,4588011.006
10/21/2022,1282.72,1282.72,1273.91,1278.2,4664990.691
10/21/2022,1278.34,1281.07,1272.7,1280.69,5089521.801
10/21/2022,1280.83,1282.59,1277.72,1280.29,3933668.82
10/21/2022,1280.29,1281.02,1277.22,1280.2,3384588.036
10/21/2022,1280.21,1282.04,1277.97,1281.28,4920118.841
10/21/2022,1281.28,1281.5,1276.01,1280.32,5685751.404
10/21/2022,1280.42,1281.69,1274.71,1275.56,5136213.783
10/21/2022,1275.56,1275.97,1253,1264.25,15176622.52
10/21/2022,1264.25,1270.67,1260.4,1269.46,9834485.239
10/21/2022,1269.7,1281.86,1268.01,1276.68,16358555.37
10/21/2022,1276.7,1286.29,1272,1285.78,17277970.41
10/21/2022,1286,1290.59,1278.73,1280.07,14052805.69
10/21/2022,1280.06,1285.32,1275.31,1279.8,8487951.994
10/21/2022,1279.59,1284,1276.92,1283.45,5777479.744
10/21/2022,1283.44,1297.81,1280.56,1297.48,8052354.633
10/21/2022,1297.54,1303.2,1295.33,1295.54,12173616.94
10/21/2022,1295.55,1300.61,1295.3,1296.94,4658003.39
10/21/2022,1296.93,1302.19,1296.93,1300.47,6856326.278
10/21/2022,1300.48,1304.16,1294.63,1298.6,5193332.234
10/21/2022,1298.62,1304,1296.93,1297.92,6254481.637
10/21/2022,1297.94,1299.06,1294.91,1296.08,4033478.341
10/21/2022,1296.01,1300.2,1295.14,1299.07,3781797.96
10/21/2022,1299.09,1306,1297.02,1303.2,6956061.488
10/21/2022,1303.2,1307.35,1302.02,1303.84,4955274.53
10/21/2022,1303.88,1304.12,1300.6,1302.87,2686975.179
10/21/2022,1302.79,1303.22,1299.41,1299.64,2313033.534
10/21/2022,1299.73,1301.59,1297.13,1299.21,1760746.306
10/21/2022,1299.08,1300.89,1298.13,1299.71,1893527.474
10/21/2022,1299.64,1301.67,1298.35,1301.54,1586032.619
10/21/2022,1301.57,1302.06,1299.68,1300.39,1824524.979
10/21/2022,1300.25,1301.12,1298.39,1299.64,1394120.406
10/21/2022,1299.77,1300.94,1298.33,1300.45,1881985.962
10/21/2022,1300.45,1302.96,1300.15,1302.05,2875485.399
10/21/2022,1302.04,1304.76,1299.14,1299.46,2859604.105
10/21/2022,1299.5,1300.7,1298.39,1298.78,1964265.164
10/21/2022,1298.78,1301.02,1298.36,1299.68,1336312.116
10/21/2022,1299.67,1300.12,1295.05,1295.96,2683787.19
10/21/2022,1296.04,1297.56,1294.12,1296.37,2242724.557
10/21/2022,1296.37,1299.45,1296.07,1298.92,1823600.355
10/22/2022,1298.92,1300.55,1297.43,1298.02,1800863.493
10/22/2022,1298.02,1298.84,1296.79,1297.36,1421508.887
10/22/2022,1297.37,1297.97,1294.68,1295.15,2119121.719
10/22/2022,1295.17,1297.64,1294.94,1296.44,1041348.968
10/22/2022,1296.44,1299.07,1296.01,1297.49,1888662.757
10/22/2022,1297.49,1298.64,1296.95,1297.84,908367.5238
10/22/2022,1297.82,1300.24,1297.72,1299.11,1467037.397
10/22/2022,1299.18,1300.94,1297.96,1299.55,999647.049
10/22/2022,1299.55,1302.76,1299.55,1301.23,1493157.195
10/22/2022,1301.22,1301.76,1300.18,1300.59,1328868.661
10/22/2022,1300.6,1302.51,1299.71,1300.45,1126606.794
10/22/2022,1300.46,1302.75,1299.38,1299.61,1147206.794
10/22/2022,1299.71,1301.08,1299.3,1300.96,1104302.114
10/22/2022,1300.79,1305.3,1300.73,1304.23,2005207.84
10/22/2022,1304.38,1308.34,1303.23,1303.69,2772944.943
10/22/2022,1303.69,1307.41,1303.49,1305.69,2248244.575
10/22/2022,1305.64,1310.5,1303.44,1304.05,4050252.499
10/22/2022,1303.96,1307.21,1302.76,1306.17,3481245.146
10/22/2022,1305.99,1315.31,1305.97,1314.95,7509537.52
10/22/2022,1315.12,1315.8,1310.03,1310.5,3909549.515
10/22/2022,1310.5,1314.91,1310.2,1313.27,3703276.898
10/22/2022,1313.27,1316.01,1313.02,1315.7,2146468.478
10/22/2022,1315.7,1318.98,1312.85,1314.03,4726334.425
10/22/2022,1314.12,1317.8,1313.21,1316.17,2544478.88
10/22/2022,1316.16,1320,1313.01,1313.2,3695758.691
10/22/2022,1313.09,1315.33,1312.61,1314.81,2175548.685
10/22/2022,1314.8,1315.3,1311.98,1313.26,2491993.159
10/22/2022,1313.23,1313.77,1310.44,1311.45,3780829.302
10/22/2022,1311.45,1311.91,1306.24,1309.71,3214246.895
10/22/2022,1309.71,1312.22,1308.61,1311.62,2379267.651
10/22/2022,1311.62,1314.63,1310.64,1313.86,2213372.726
10/22/2022,1313.95,1315.08,1312.31,1314.13,1752746.494
10/22/2022,1314.31,1315.33,1312.01,1312.26,1702061.911
10/22/2022,1312.26,1316.69,1312.07,1315.93,1739230.586
10/22/2022,1315.94,1318,1312.09,1315.47,3607987.888
10/22/2022,1315.47,1318.4,1315.27,1317.14,1765007.777
10/22/2022,1317.14,1317.73,1313.73,1315.05,2006272.632
10/22/2022,1315.17,1316.23,1313.63,1314.98,1071220.401
10/22/2022,1314.99,1317.19,1313.24,1313.52,2175464.209
10/22/2022,1313.58,1314.35,1312.8,1313.61,1067428.022
10/22/2022,1313.7,1314.49,1311.21,1312.33,1424132.125
10/22/2022,1312.39,1313.28,1309.16,1311.52,2020774.115
10/22/2022,1311.43,1312.3,1308.11,1308.43,1674654.468
10/22/2022,1308.35,1309.99,1306.61,1308.77,2615389.892
10/22/2022,1308.56,1312.76,1308.01,1312.44,2728529.167
10/22/2022,1312.31,1314.4,1311.71,1312.32,2959232.578
10/22/2022,1312.31,1314.91,1311.95,1312.27,1772373.696
10/22/2022,1312.39,1313.86,1311.26,1313.26,1678368.347
10/23/2022,1313.26,1314.9,1311.97,1314.62,1422556.516
10/23/2022,1314.43,1314.89,1308.61,1309.82,3022753.133
10/23/2022,1309.92,1311.65,1309.15,1310.8,1627198.853
10/23/2022,1310.74,1311.56,1307.65,1308.52,2053515.785
10/23/2022,1308.53,1310.46,1306.75,1308.34,2370542.366
10/23/2022,1308.25,1309.49,1306.69,1309.23,1875035.121
10/23/2022,1309.22,1310,1307.34,1308.14,1755783.691
10/23/2022,1308.22,1309.93,1307.35,1309.57,1353169.073
10/23/2022,1309.57,1311.77,1308.49,1310.17,2119350.814
10/23/2022,1310.26,1311.87,1309.57,1311.78,1354906.98
10/23/2022,1311.62,1312.01,1309.37,1310.72,2741867.102
10/23/2022,1310.72,1311.22,1308.64,1309.92,1763660.386
10/23/2022,1309.91,1310.36,1307.49,1307.99,1661891.504
10/23/2022,1307.97,1309.76,1307.31,1309.49,1609452.126
10/23/2022,1309.52,1309.75,1301.62,1304.21,4579321.051
10/23/2022,1304.16,1305.6,1302.53,1304.05,2653171.98
10/23/2022,1304.11,1306.27,1299.22,1306.11,3010532.983
10/23/2022,1305.97,1309.6,1303.2,1306.85,5309948.476
10/23/2022,1306.85,1309.66,1306.23,1306.85,2788170.544
10/23/2022,1306.92,1308.69,1305.25,1308.18,2361798.103
10/23/2022,1308.18,1312.45,1308.06,1310.33,4703230.924
10/23/2022,1310.33,1311.78,1309.49,1311.03,1782275.504
10/23/2022,1311.03,1316.59,1311,1313.94,5662381.676
10/23/2022,1313.93,1315.72,1312.02,1313.63,3058450.464
10/23/2022,1313.73,1314.97,1310.55,1311.67,3321093.396
10/23/2022,1311.68,1314.58,1311.59,1312.32,3386390.959
10/23/2022,1312.31,1316.77,1311.3,1315.09,4404516.925
10/23/2022,1315.15,1330.92,1314.98,1328.75,11927662.11
10/23/2022,1328.75,1335.53,1325.1,1331.97,9687813.493
10/23/2022,1331.85,1334,1328.21,1329.22,6492011.481
10/23/2022,1329.42,1333.59,1329.42,1333.27,6618506.431
10/23/2022,1333.09,1333.32,1330.13,1330.67,3718632.22
10/23/2022,1330.67,1337.25,1330.23,1331.17,5571191.41
10/23/2022,1331.18,1331.8,1328.62,1330.23,4486835.921
10/23/2022,1330.09,1338.15,1329.25,1332.38,5022766.116
10/23/2022,1332.37,1337,1331.27,1336.77,2872396.487
10/23/2022,1336.73,1363.47,1336.32,1361.17,16845403.02
10/23/2022,1361.44,1371,1360.64,1365.41,12354807.65
10/23/2022,1365.36,1368.78,1358.82,1360.33,8187954.39
10/23/2022,1360.33,1366.02,1359.99,1364.04,8922643.11
10/23/2022,1363.75,1370.78,1363.01,1368.89,8825528.845
10/23/2022,1368.77,1370.05,1357.77,1360.89,7545425.247
10/23/2022,1360.88,1362.75,1353.55,1356.52,6359158.948
10/23/2022,1356.52,1358.57,1352.5,1355.01,5261903.85
10/23/2022,1355.01,1356.78,1353.9,1356.14,3107797.459
10/23/2022,1356.33,1358.99,1351.22,1352.49,4942467.102
10/23/2022,1352.49,1354.39,1343.96,1349.63,6430631.475
10/23/2022,1349.85,1350.22,1346.29,1348.01,2869307.137
10/24/2022,1348.21,1348.33,1340.68,1344.39,5316360.467
10/24/2022,1344.39,1348.22,1344.18,1347.71,5044942.235
10/24/2022,1347.73,1347.91,1342.76,1346.55,3940499.532
10/24/2022,1346.56,1346.66,1339.05,1342.93,4860648.776
10/24/2022,1342.92,1346.33,1341.46,1345.85,3894700.639
10/24/2022,1345.95,1346.01,1336.19,1338.69,6857203.901
10/24/2022,1338.74,1344.78,1335.74,1338.98,7078915.485
10/24/2022,1338.77,1339.57,1332.66,1336.71,5196226.362
10/24/2022,1336.93,1339.54,1332.36,1336.18,4959133.848
10/24/2022,1335.9,1338.49,1334.33,1337.97,2309438.999
10/24/2022,1337.99,1340.77,1335.8,1340.68,3003284.726
